Upminster Bridge;UPB:D
Sudbury Town;STN:P
Stepney Green;STG:DH
West Ruislip;WRP:C
Farringdon;FAR:cHM
Bond Street;BDS:CJ
South Ruislip;SRP:C
Leyton;LEY:C
Ickenham;ICK:MP
Kennington Underground Station;KEN:N
Moorgate;MGT:cHMN
Croxley;CRX:M
Debden;DEB:C
Wood Green Underground Station;WGN:P
Holland Park;HPK:C
Southfields;SFS:D
Heathrow Terminal 5;HRV:P
Heathrow Terminal 4;HTF:P
South Kensington;SKN:DcP
Lancaster Gate;LAN:C
Chancery Lane;CYL:C
Highgate;HIG:N
Chalfont & Latimer;CLF:M
Putney Bridge;PUT:D
West Finchley;WFY:N
West Harrow;WHR:M
Victoria;VIC:DcV
Paddington;PAD:BcH
Warren Street;WST:NV
Warwick Avenue;WAR:B
Hounslow East;HNE:P
Stockwell;STK:NV
North Harrow;NHR:M
Rayners Lane;RLN:MP
South Ealing;SEL:P
Woodside Park;WSP:N
North Acton;NAC:C
West Ham;WHM:DHJ
Whitechapel;WCL:DH
Clapham Common;CPC:N
East Finchley;EFY:N
Cockfosters;CFS:P
Moor Park;MPK:M
Wembley Central;WEM:B
Kensington (Olympia);OLY:D
Upton Park;UPK:DH
Hounslow Central;HNC:P
Canons Park;CPK:J
Barkingside;BDE:C
Osterley;OST:P
Turnpike Lane;TPL:P
West Brompton;WBT:D
Richmond;RMD:D
Acton Town;ACT:DP
Northolt;NHT:C
Angel;ANG:N
Grange Hill;GRH:C
Ravenscourt Park;RCP:D
Redbridge;RED:C
Tottenham Hale;TTH:V
Leicester Square;LSQ:NP
Eastcote;ETE:MP
Pimlico;PIM:V
Parsons Green;PGR:D
Harrow-on-the-Hill;HOH:M
Stamford Brook;STB:D
Blackfriars;BLF:Dc
Hammersmith (Dist & Pic lines);HMD:DP
Clapham South;CPS:N
Hyde Park Corner;HPC:P
Elm Park;EPK:D
Edgware Road (Circle Line);ERD:DcH
Mill Hill East;MHE:N
Queen's Park;QPK:B
Charing Cross;CHX:BN
Queensbury;QBY:J
Bromley-By-Bow;BBB:DH
Totteridge & Whetstone;TOT:N
Covent Garden;COV:P
Kilburn Park;KPK:B
Oxford Circus;OXC:BCV
Kenton;KNT:B
Fairlop;FLP:C
Sloane Square;SSQ:Dc
Gunnersbury;GUN:D
East Putney;EPY:D
Holloway Road;HRD:P
Northwick Park;NWP:M
Loughton;LTN:C
Colindale;COL:N
Balham;BAL:N
Snaresbrook;SNB:C
Walthamstow Central;WAL:V
West Kensington;WKN:D
Kensal Green;KGN:B
Upney;UPY:D
Mornington Crescent;MCR:N
Mile End;MLE:CDH
Finchley Road;FRD:JM
Chorleywood;CWD:M
Harlesden;HSD:B
Notting Hill Gate;NHG:C
North Ealing;NEL:P
Archway;ARC:N
South Wimbledon;SWM:N
Woodford;WFD:C
Finchley Central;FYC:N
Oval;OVL:N
Hanger Lane;HLN:C
Wimbledon Park;WMP:D
West Acton;WAC:C
Chigwell;CHG:C
